context,text
ski mountain skier,Skier skis down the mountain
ski mountain skier,A skier is skiing down a mountain.
ski mountain skier,Three skiers are skiing on a snowy mountain.
wag tail dog,The dog is wagging his tail.
wag tail dog,A dog wags his tail at the boy.
wag tail dog,a dog wags its tail with its heart
lake paddle canoe,woman paddling canoe on a lake
lake paddle canoe,paddle an open canoe along lake .
lake paddle canoe,a man paddles his canoe on the lake.
station train pull,a train pulls into station
station train pull,train pulling in to station .
station train pull,the train pulling into station
hay eat horse,A horse is eating hay.
hay eat horse,The horses are eating hay.
hay eat horse,A horse eats hay in the barn
fan match watch,watch a match with fans
fan match watch,the fans watch the match
fan match watch,a fan watches during the match
mountain surround lake,a lake surrounded by mountains .
mountain surround lake,lake from the surrounding mountains
mountain surround lake,one of the mountain ranges that surrounds lake .
lay rug dog,A dog laying on a rug.
lay rug dog,The dogs laid down on the rug
lay rug dog,Brown dog chews on bone while laying on the rug.
painting wall hang,hanging a painting on a wall at home
painting wall hang,paintings of horses hang on the walls .
painting wall hang,There is only one painting hanging on the wall.
food carry tray,boy carries a tray of food .
food carry tray,people carrying food on trays
food carry tray,The woman is carrying two trays of food.
match stadium watch,soccer fans watches a league match in a stadium
match stadium watch,A stadium full of people watching a tennis match.
match stadium watch,supporters watch the match from a hill outside the stadium
paw lick cat,A cat licks his paws.
paw lick cat,A cat is licking its paw
paw lick cat,the cat licks the pad of his front paw
room tile wall,a bath room with a toilet and tiled walls
room tile wall,Three men tile a wall in a large empty room
room tile wall,A wall mounted urinal in a checker tiled rest room.
lake shore canoe,canoe on a shore of lake .
lake shore canoe,canoe on shore with rainbow across the lake
lake shore canoe,Several canoes parked in the grass on the shore of a lake 
mountain skier way,A skier on his way to the mountain.
mountain skier way,skiers make their way down the mountain
mountain skier way,A skier making her way down a snowy mountain.
boat lake drive,driving boat on a lake
boat lake drive,a boat is being driven through a lake
boat lake drive,A fisherman drives his boat on the lake
grass horse eat,A horse is eating grass.
grass horse eat,The horses are eating grass.
grass horse eat,The old horse ate grass all day.
train come track,train coming down the track
train come track,A train is coming along on a track.
train come track,a long train in coming down some tracks
train track move,train moving on the tracks
train track move,A red train is moving down a track
train track move,A train moves slowly on some empty tracks
train station leave,a train leaves the station
train station leave,a train leaving station bound
train station leave,a fast train about to leave station
passenger train station,train and passengers at the station
passenger train station,passengers leaving a train on a station
passenger train station,a train at station with no passengers joining
train station arrive,a train arrives at station
train station arrive,train arriving at the station
train station arrive,subway train arrives in the station
station sit train,a train sits at the station
station sit train,A train that is sitting in a station.
station sit train,A red train sitting at an empty station.
wagon horse pull,a tea of horses pull a wagon
wagon horse pull,horse pulling man on wagon .
wagon horse pull,A wagon is being pulled by horses.
station stop train,train is stopped at a station
station stop train,trains stopping at the station
station stop train,The empty train is stopped in the station.
plane runway sit,A plane sits on the runway
plane runway sit,An old plane is sitting on a runway.
plane runway sit,Two planes are sitting out on the runway.
fly cloud plane,plane flying into the clouds
fly cloud plane,flying plane against a cloud .
fly cloud plane,A plane flies over head in the clouds.
herd dog sheep,A dog herds a sheep.
herd dog sheep,A dog is herding sheep.
herd dog sheep,The dogs are herding sheep.
boat sit beach,boats sitting on the beach
boat sit beach,a boat is sitting up on a beach
boat sit beach,Pelicans sit on a blue boat at the beach.
train come station,a train coming into station
train come station,tube train comes to station .
train come station,train coming in to the station
float sky cloud,clouds floating in the sky
float sky cloud,clouds float through a blue sky
float sky cloud,shot of clouds that float across the sky
eat grass elephant,elephants pulling grass to eat .
eat grass elephant,An elephant is eating grass in Kenya.
eat grass elephant,a bunch of elephants are eating grass
family time spend,family spend time in the park
family time spend,spending time with the family
family time spend,family spend time at a holidays
wall tile bathroom,black walls and tiles in the bathroom
wall tile bathroom,A bathroom has green tile on the walls.
wall tile bathroom,A bathroom with blue walls and pink tile.
window light shine,A red light shines in his window.
window light shine,Light from a window shining onto a bed. 
window light shine,A beam of light shines through the window.
come light window,light coming through the windows
come light window,Some light comes in from the windows.
come light window,Very faint light comes in at a side window.
station enter train,a subway train enters a station
station enter train,The train is entering the station.
station enter train,people enter a tube train at station .
cloud building sky,building and clouds moving in the blue sky
cloud building sky,white clouds in a blue sky reflecting off buildings
cloud building sky,building and clouds against blue sky seen from a city
giraffe feed zoo,feeding giraffe at the zoo
giraffe feed zoo,A boy feeding a giraffe at a zoo
giraffe feed zoo,A woman feeds two giraffes at the zoo.
lie grass cat,cat lay on the grass
lie grass cat,cat lying in the grass
lie grass cat,cat lying on grass in a public park
beach time spend,tourists spend time on a beach
beach time spend,people spend time at the beach
beach time spend,spending some time on the beach
corn cob eat,cat eating corn on the cob
corn cob eat,child eating a cob of corn .
corn cob eat,A boy is trying to eat corn on the cob.
eat hay sheep,sheeps eat hay on the farm .
eat hay sheep,several sheep eating hay in a barn
eat hay sheep,sheep in a pen with some hay to eat
student work computer,a student works on a computer
student work computer,student working at a computer
student work computer,students working on the computer .
wait luggage airport,People wait for their luggage at an airport.
wait luggage airport,Man waiting next to his luggage at an airport.
wait luggage airport,Several men waiting on their luggage at the airport.
bridge ship pass,the ship passes under the bridge
bridge ship pass,with cargo ship passing under bridge
bridge ship pass,A bridge rises to let two ships pass.
bride flower bouquet,a bride with a bouquet of flowers
bride flower bouquet,the bride chose glorious flowers for the bouquets
bride flower bouquet,a bouquet of yellow and orange flowers for the bride .
