context,text
lean rider curve,Two motorcycle riders are leaning deep into a curve on a racetrack.
carpet room crawl,portrait of a crawling baby on the carpet in my room
bridge ship pass,the ship passes under the bridge
dam flow water,water flowing over a dam
plain walk zebra,a wild zebra walks through the fertile plains
boat lake drive,A fisherman drives his boat on the lake
bathtub tile bathroom,A bathroom has a slanted roof and red tile by the bathtub.
beach boat moor,small wooden boat moored up on a beach
dip water toe,entertainer dipped her toes in the water .
train sky travel,An orange train traveling through rural countryside under a cloudy sky.
oatmeal fruit bowl,a bowl of oatmeal with fruit .
eat flock grass,A flock of sheep eating grass next to a pond.
city train head,on the train heading up to a city
school teacher student,Students are waiting for their teacher at school.
passenger train station,passengers leaving a train on a station
mount wall bathroom,A white wall mounted toilet in a bathroom.
ship fly plane,a plane flys past a ship
eat grass elephant,a bunch of elephants are eating grass
beach chair umbrella,chairs and umbrella on a beach
cloud sky city,the clouds and sky in the city
monitor desk keyboard,a desk with two keyboards and two monitors
airport loading airplane,loading cargo or luggage into airplane at airport on a cloudy day
field sheep day,white happy sheep in fields on a sunny day l
light reflect glass,glass stems reflecting and shining in the light 
camp tent mountain,Two guys are camping on a mountain under a tent.
pier sit lake,Two people sit on a pier at a lake.
vanity toilet bathroom,An open toilet in a bathroom with a vanity.
dish potato carrot,... potatoes and carrots with type of dish
yard horse grass,The horse is eating grass in the yard.
train steam track,Steam rising from a train moving along tracks.
mount wall frame,A stuffed teddy bear mounted on the wall in a frame.
hang pot wall,flowers hanging in the pot on the wall
map look park,People looking at a map in central park.
bench beach overlook,This is an image of a bench overlooking a beach.
bridge way train,A train makes its way across a steel bridge.
day trail hike,hiking trail on a sunny day
plane sit tarmac,A plane that is sitting on a tarmac.
tower window church,round window in a tower of the old church
brother sister school,a brother and sister eating before school
hold arm surfboard,A man holding a surfboard in one arm.
blanket cat rest,a cat resting on the blanket
cliff climber ascend,climbers ascend a steep cliff over waterfall
distance mountain field,There is a mountain in the distance past a field
anime call wallpaper,wallpaper probably containing a portrait and anime called
plane runway park,a bunch of planes parked on the runway
plan wedding couple,this military couple planned their wedding in week .
sun rise skyscraper,the sun rises behind skyscrapers amidst the clouds on a foggy morning
flight delay passenger,Passengers are waiting since their flight has been delayed.
room ceiling fan,ceiling fan with lamps in a dark room .
sky cloud day,blue sky in a cloud covered day
airplane rise sun,sun rise from an airplane
statue sit lion,The two little children with pink boots sat on the gray statue of a female lion.
